cat,neighborhood,house,sourpuss,mass,birdKills
64,Soft Meadow,p,64.69441216,20.51904028,58.69441216
65,Soft Meadow,p,30.37056553,20.14306689,23.37056553
66,Soft Meadow,q,54.06183641,19.92138714,51.06183641
67,Soft Meadow,q,44.36213882,20.32291598,43.36213882
68,Soft Meadow,q,30.07832382,19.73707903,28.07832382
69,Soft Meadow,q,49.27196908,19.77966825,45.27196908
70,Soft Meadow,r,52.9168229,19.96620064,45.9168229
71,Soft Meadow,r,32.83577228,20.87708277,29.83577228
72,Soft Meadow,r,54.41878783,19.96470087,52.41878783
73,Soft Meadow,r,61.44515439,19.86395736,53.44515439
74,Soft Meadow,r,40.35458046,19.33904581,36.35458046
75,Soft Meadow,s,52.75813798,19.67885373,47.75813798
76,Soft Meadow,s,52.11577147,19.57997268,44.11577147
77,Soft Meadow,t,58.65078074,20.5007335,55.65078074
78,Soft Meadow,t,27.42787715,20.45745191,24.42787715
79,Soft Meadow,t,34.76244997,19.7821003,29.76244997
80,Soft Meadow,u,37.48042348,20.29267917,35.48042348
81,Soft Meadow,u,56.98612865,20.9769199,50.98612865
82,Soft Meadow,u,44.30849023,21.23001688,37.30849023
83,Soft Meadow,u,47.92866433,20.68002264,45.92866433
84,Soft Meadow,v,22.56563392,20.60291334,14.56563392
85,Soft Meadow,v,54.70112294,21.64534082,54.70112294
86,Soft Meadow,x,21.04281131,21.4375613,15.04281131
87,Soft Meadow,x,39.43359879,20.67412391,34.43359879
88,Soft Meadow,x,34.56778978,20.17569338,31.56778978
89,Soft Meadow,x,56.78122573,21.29415295,51.78122573
90,Soft Meadow,x,40.94565084,20.99258209,38.94565084
91,Soft Meadow,x,58.86706139,21.08249888,53.86706139
92,Soft Meadow,y,30.41256803,21.38767095,29.41256803
93,Soft Meadow,y,49.26828344,21.86140446,47.26828344
94,Soft Meadow,y,55.65628541,21.08980754,47.65628541
95,Soft Meadow,y,32.99205539,20.88068918,32.99205539
96,Soft Meadow,y,38.00821752,21.35269776,34.00821752
97,Soft Meadow,z,58.62605987,21.43452445,49.62605987
98,Soft Meadow,z,60.49125024,21.2429093,51.49125024
99,Soft Meadow,z,44.40474031,21.40022867,41.40474031
100,Soft Meadow,aa,46.26974933,20.93735113,44.26974933
101,Soft Meadow,aa,64.22757265,21.70455452,61.22757265
102,Soft Meadow,aa,52.3479966,21.69197318,44.3479966
103,Soft Meadow,aa,32.41185142,21.50328021,30.41185142
104,Soft Meadow,aa,58.37905013,21.84580886,58.37905013
105,Soft Meadow,aa,61.13052774,22.11151929,58.13052774
106,Soft Meadow,aa,66.43246942,20.71896096,59.43246942
107,Soft Meadow,aa,23.60638705,22.54513367,15.60638705
108,Soft Meadow,bb,45.61626409,22.724234,45.61626409
109,Soft Meadow,bb,50.84316785,21.60924307,43.84316785
110,Soft Meadow,bb,50.38427159,22.72506149,42.38427159
111,Soft Meadow,bb,72.31509907,21.70385986,63.31509907
112,Soft Meadow,bb,47.11835159,22.05751091,38.11835159
113,Soft Meadow,bb,54.5463282,21.31708851,46.5463282
114,Soft Meadow,bb,31.45342778,22.98520674,26.45342778
115,Soft Meadow,bb,16.41102899,22.47217526,6.411028986
116,Soft Meadow,bb,40.1055147,22.99113525,30.1055147
117,Soft Meadow,cc,24.44073391,21.94764395,21.44073391
118,Soft Meadow,cc,49.8188293,22.1150666,46.8188293
119,Soft Meadow,dd,37.92085157,21.19773527,34.92085157
120,Soft Meadow,dd,52.04159098,22.33711855,44.04159098
121,Monterey,ee,27.81871548,20.05537862,27.81871548
122,Monterey,ee,59.5179885,20.09446128,57.5179885
123,Monterey,ee,41.98888726,20.85197375,38.98888726
124,Monterey,ee,44.49281205,19.40454965,44.49281205
125,Monterey,ee,51.81146981,20.28488506,42.81146981
126,Monterey,ee,51.85751255,20.20203024,48.85751255
127,Monterey,ee,47.53020955,19.93371222,37.53020955
128,Monterey,ee,51.36153445,20.51835979,45.36153445
129,Monterey,ff,34.89813313,20.59698587,25.89813313
130,Monterey,ff,54.53568826,20.35147168,51.53568826
131,Monterey,ff,32.8186207,20.47389919,28.8186207
132,Monterey,ff,34.88073094,19.55731781,28.88073094
133,Monterey,ff,26.28346646,19.90944746,24.28346646
134,Monterey,gg,20.01765887,19.63430907,20.01765887
135,Monterey,gg,52.47907338,20.13040275,47.47907338
136,Monterey,hh,26.50591051,20.59356944,24.50591051
137,Monterey,hh,60.29830742,19.53113561,56.29830742
138,Monterey,hh,30.98689167,19.24014869,28.98689167
139,Monterey,hh,7,18.96056855,0
140,Monterey,hh,25.92798874,20.85542802,22.92798874
141,Monterey,ii,65.92696977,20.98167773,60.92696977
142,Monterey,ii,68.85889511,20.92845643,61.85889511
143,Monterey,ii,28.63619251,20.9815756,20.63619251
144,Monterey,ii,49.15537479,20.90275725,47.15537479
145,Monterey,jj,73.25498324,21.06181288,73.25498324
146,Monterey,jj,64.96543634,21.65011188,59.96543634
147,Monterey,jj,28.78574524,21.62859087,24.78574524
148,Monterey,jj,90.27278541,21.65827531,84.27278541
149,Monterey,jj,44.72026871,21.77575204,34.72026871
150,Monterey,kk,43.89444763,21.18756156,43.89444763
151,Monterey,kk,20.39948436,21.11851959,15.39948436
152,Monterey,kk,31.77952113,20.03431534,30.77952113
153,Monterey,ll,38.31750403,21.59294813,31.31750403
154,Monterey,ll,24.65123483,20.66773416,24.65123483
155,Monterey,ll,46.80756058,21.20453334,37.80756058
156,Monterey,ll,48.12558906,21.64527049,41.12558906
157,Monterey,ll,57.04463043,21.14987178,52.04463043
158,Monterey,ll,43.48460121,22.1358007,41.48460121
159,Monterey,mm,49.45317291,21.17023111,40.45317291
160,Monterey,mm,52.15846982,21.31243748,43.15846982
161,Monterey,mm,51.15527265,21.67445608,45.15527265
162,Monterey,mm,45.25374477,21.5076173,37.25374477
163,Monterey,mm,52.63185473,22.07127613,45.63185473
164,Monterey,nn,56.778979,22.09798451,52.778979
165,Monterey,nn,50.9486003,22.19942923,44.9486003
166,Monterey,nn,44.20135613,21.89648973,42.20135613
167,Monterey,oo,35.0745318,22.33676851,29.0745318
168,Monterey,oo,29.97243864,21.91208868,25.97243864
169,Monterey,pp,26.33689136,21.71293049,26.33689136
170,Monterey,pp,22.12282146,21.79883381,20.12282146
171,Monterey,qq,51.86974835,22.51104251,42.86974835
172,Monterey,qq,62.30076621,21.84277133,57.30076621
173,Monterey,rr,51.96591493,22.32930573,44.96591493
174,Monterey,rr,59.88940809,22.17403879,57.88940809
175,Monterey,rr,50.85780756,22.7813772,46.85780756
176,Monterey,rr,20.91691748,22.07496859,14.91691748
177,Monterey,rr,43.67435855,21.38928711,34.67435855
178,Monterey,rr,23.82949118,22.25052114,16.82949118
179,Monterey,ss,64.88995208,21.73126191,61.88995208
180,Monterey,ss,63.53952302,22.44747732,62.53952302
181,Central,tt,66.60133011,21.63377005,59.60133011
182,Central,tt,93.03115595,20.9131404,90.03115595
183,Central,uu,40.24362301,20.99054477,40.24362301
184,Central,uu,59.75219008,20.74095317,53.75219008
185,Central,uu,34.38160546,20.30326104,32.38160546
186,Central,vv,49.71517463,21.71245855,46.71517463
187,Central,vv,77.1218438,20.13487591,67.1218438
188,Central,vv,74.76638805,20.17597024,66.76638805
189,Central,vv,73.08986641,21.61824114,69.08986641
190,Central,vv,67.67785234,20.49445967,61.67785234
191,Central,vv,45.08001982,21.64814757,40.08001982
192,Central,ww,39.31882489,21.25573173,38.31882489
193,Central,ww,39.45626564,21.41797766,32.45626564
194,Central,ww,40.22602934,21.56827243,39.22602934
195,Central,ww,50.15079661,19.82832266,42.15079661
196,Central,xx,51.0146848,20.78103437,51.0146848
197,Central,xx,46.37891007,21.53628676,37.37891007
198,Central,xx,45.28094914,20.66435205,35.28094914
199,Central,xx,68.27195992,21.00694165,64.27195992
200,Central,xx,50.82368986,21.31133748,42.82368986
201,Central,yy,50.68080427,21.20792079,50.68080427
202,Central,yy,53.57190749,21.55315906,52.57190749
203,Central,yy,82.47113669,22.01562685,81.47113669
204,Central,zz,61.45665689,20.62180513,59.45665689
205,Central,zz,70.38271958,21.22298946,67.38271958
206,Central,aaa,48.23996201,20.80642112,41.23996201
207,Central,aaa,55.13664991,20.73500373,51.13664991
208,Central,aaa,62.2411922,21.3011877,52.2411922
209,Central,aaa,60.11196428,21.3559816,59.11196428
210,Central,bbb,86.93015712,21.52943604,76.93015712
211,Central,bbb,61.7683057,21.09402553,51.7683057
212,Central,bbb,61.54057033,21.59652086,59.54057033
213,Central,ccc,82.75768329,20.49527426,75.75768329
214,Central,ccc,73.11907013,21.35820623,73.11907013
215,Central,ddd,77.08028424,21.47521981,71.08028424
216,Central,ddd,53.47583784,20.95279787,49.47583784
217,Central,eee,54.18156111,20.59587665,50.18156111
218,Central,eee,90.13824768,20.13215734,81.13824768
219,Central,eee,68.18682857,21.44584547,59.18682857
220,Central,eee,58.96817805,20.37714782,57.96817805
221,Central,fff,74.74577412,21.09189945,72.74577412
222,Central,fff,63.66393865,20.82950642,57.66393865
223,Central,ggg,64.71104335,20.84432241,55.71104335
224,Central,ggg,85.67603971,21.07099817,77.67603971
225,Central,hhh,78.83937612,21.53302228,71.83937612
226,Central,hhh,80.8643398,20.33975435,76.8643398
227,Central,hhh,72.76527992,21.37782631,65.76527992
228,Central,hhh,108,20.01821687,100
229,Central,hhh,77.69906864,20.87098561,76.69906864
230,Central,iii,65.01822619,21.13342879,57.01822619
231,Central,iii,85.78208805,21.29441394,78.78208805
232,Central,iii,62.58788818,19.67165149,58.58788818
233,Central,jjj,75.36150655,20.39223975,75.36150655
234,Central,jjj,74.40082377,19.62828091,66.40082377
235,Central,jjj,64.44581677,20.62261176,58.44581677
236,Central,kkk,58.90716517,20.77157235,54.90716517
237,Central,kkk,84.78570556,20.45781914,74.78570556
238,Central,lll,70.99667338,19.96817128,62.99667338
239,Central,lll,45.93740322,20.68766707,39.93740322
240,Central,lll,91.91547163,21.44067381,89.91547163
241,Maritime,mmm,69.92402188,20.53738454,69.92402188
242,Maritime,mmm,68.63781303,20.6759194,67.63781303
243,Maritime,mmm,101.1060896,20.46719573,95.10608963
244,Maritime,mmm,66.20771807,19.44018364,60.20771807
245,Maritime,nnn,54.39126946,19.19884128,54.39126946
246,Maritime,nnn,71.47377634,19.37814212,67.47377634
247,Maritime,nnn,41.32083507,19.81494526,33.32083507
248,Maritime,nnn,80.27220588,20.38420388,72.27220588
249,Maritime,nnn,66.42824238,20.01460101,65.42824238
250,Maritime,ooo,82.71761405,20.19407357,74.71761405
251,Maritime,ooo,80.2390102,19.51705195,78.2390102
252,Maritime,ooo,55.60685701,20.5593968,55.60685701
253,Maritime,ooo,72.46337977,19.85213738,66.46337977
254,Maritime,ooo,87.201463,20.90728968,87.201463
255,Maritime,ppp,80.82413632,19.15980825,74.82413632
256,Maritime,ppp,86.25177795,19.90071224,82.25177795
257,Maritime,ppp,63.76398934,20.0615296,61.76398934
258,Maritime,ppp,92.96924249,19.41533128,83.96924249
259,Maritime,ppp,54.77508249,20.27619162,45.77508249
260,Maritime,qqq,52.00836676,20.19771132,47.00836676
261,Maritime,qqq,79.6686924,20.89110526,78.6686924
262,Maritime,qqq,88.55020026,19.27707273,88.55020026
263,Maritime,qqq,93.94167731,20.07337844,83.94167731
264,Maritime,qqq,98.76085227,20.20110594,92.76085227
265,Maritime,rrr,61.53456819,20.2015438,54.53456819
266,Maritime,rrr,70.13170593,20.46495169,60.13170593
267,Maritime,rrr,52.62754289,20.5557111,51.62754289
268,Maritime,sss,65.86498944,19.23148453,63.86498944
269,Maritime,sss,109,19.88746157,100
270,Maritime,sss,69.23357099,19.16780829,61.23357099
271,Maritime,sss,70.57536768,19.97898795,61.57536768
272,Maritime,ttt,90.89227919,19.69084076,80.89227919
273,Maritime,ttt,84.4707695,20.25377201,81.4707695
274,Maritime,uuu,62.96837818,19.34432113,52.96837818
275,Maritime,uuu,61.68172813,20.45964783,52.68172813
276,Maritime,uuu,64.86730882,19.46660724,58.86730882
277,Maritime,uuu,83.82105191,19.89087408,77.82105191
278,Maritime,uuu,91.81549741,20.28991734,89.81549741
279,Maritime,vvv,75.05126312,19.40053025,70.05126312
280,Maritime,vvv,73.15305464,20.4432935,70.15305464
281,Maritime,vvv,76.35118232,19.8599238,69.35118232
282,Maritime,vvv,84.45642151,19.84922727,79.45642151
283,Maritime,www,86.1251367,20.30018325,80.1251367
284,Maritime,www,92.37121171,20.40924923,87.37121171
285,Maritime,www,78.62071889,19.66191159,68.62071889
286,Maritime,www,85.61413149,19.72118055,79.61413149
287,Maritime,www,77.09976873,19.74367955,76.09976873
288,Maritime,xxx,75.73252192,19.63309402,70.73252192
289,Maritime,xxx,104,20.02723806,100
290,Maritime,yyy,107,19.12489292,100
291,Maritime,yyy,99.96132321,20.83710426,89.96132321
292,Maritime,yyy,104.6056425,19.91000412,99.60564245
293,Maritime,zzz,97.09412187,19.52930049,91.09412187
294,Maritime,zzz,107,19.29174389,100
295,Maritime,aaaa,54.12509733,19.90632277,49.12509733
296,Maritime,aaaa,79.39837518,19.34526523,76.39837518
297,Maritime,aaaa,100,19.65466237,100
298,Maritime,aaaa,87.76762704,19.32691794,84.76762704
299,Maritime,bbbb,50.52849982,19.62377882,46.52849982
300,Maritime,bbbb,73.19868155,20.83468606,70.19868155
301,Edgewood,cccc,26.57879652,16.98457111,18.57879652
302,Edgewood,cccc,36.27595021,16.84443179,31.27595021
303,Edgewood,cccc,38.43769552,17.26260848,32.43769552
304,Edgewood,cccc,57.33633542,16.99158692,48.33633542
305,Edgewood,dddd,30.52311082,16.94562011,27.52311082
306,Edgewood,dddd,56.13844807,17.32164946,47.13844807
307,Edgewood,dddd,41.49743019,18.20087228,33.49743019
308,Edgewood,dddd,31.82596364,17.22301887,22.82596364
309,Edgewood,dddd,35.15077352,16.23266403,33.15077352
310,Edgewood,eeee,50.89998206,17.41197927,41.89998206
311,Edgewood,eeee,38.34436836,17.0464896,32.34436836
312,Edgewood,eeee,58.92369411,17.20604235,49.92369411
313,Edgewood,ffff,40.65306965,16.63266633,32.65306965
314,Edgewood,ffff,4,17.10507305,0
315,Edgewood,ffff,34.85078495,16.49587105,24.85078495
316,Edgewood,ffff,20.96191597,16.86704394,18.96191597
317,Edgewood,ffff,42.31845952,17.84998931,40.31845952
318,Edgewood,gggg,30.30842115,17.77946445,26.30842115
319,Edgewood,gggg,35.62876354,17.10892154,29.62876354
320,Edgewood,gggg,26.25831536,17.47524868,24.25831536
321,Edgewood,hhhh,35.10438578,17.75754957,30.10438578
322,Edgewood,hhhh,60.97491131,16.90762543,51.97491131
323,Edgewood,hhhh,31.82413379,17.59195615,30.82413379
324,Edgewood,hhhh,24.63300104,17.64742145,17.63300104
325,Edgewood,hhhh,37.7160886,17.1933489,33.7160886
326,Edgewood,hhhh,36.44376646,16.91192163,27.44376646
327,Edgewood,hhhh,61.01345886,17.16060259,52.01345886
328,Edgewood,hhhh,59.72373363,17.28035081,54.72373363
329,Edgewood,hhhh,36.95938627,18.50029331,33.95938627
330,Edgewood,hhhh,17.38163838,17.54381516,14.38163838
331,Edgewood,hhhh,50.83984419,18.43563081,41.83984419
332,Edgewood,hhhh,41.29427534,17.81971182,35.29427534
333,Edgewood,iiii,62.76703707,17.53422198,57.76703707
334,Edgewood,iiii,46.68855856,18.59965017,38.68855856
335,Edgewood,iiii,10,17.35325881,0
336,Edgewood,iiii,32.92161437,17.91025508,26.92161437
337,Edgewood,iiii,45.4525665,18.54089792,41.4525665
338,Edgewood,iiii,38.11051376,18.28629878,35.11051376
339,Edgewood,iiii,50.0307733,18.25324659,42.0307733
340,Edgewood,iiii,48.51259816,17.96827508,39.51259816
341,Edgewood,iiii,42.04554244,19.03528249,41.04554244
342,Edgewood,iiii,59.48672224,18.96619891,55.48672224
343,Edgewood,jjjj,53.79591368,18.98144079,47.79591368
344,Edgewood,jjjj,25.0301813,19.1637876,20.0301813
345,Edgewood,jjjj,28.16921679,18.34594161,21.16921679
346,Edgewood,jjjj,24.71449936,19.61379368,24.71449936
347,Edgewood,jjjj,48.65001457,19.22720432,42.65001457
348,Edgewood,jjjj,41.80699468,18.61325782,41.80699468
349,Edgewood,jjjj,14.99948941,19.36163673,14.99948941
350,Edgewood,jjjj,40.02095669,19.7504274,38.02095669
351,Edgewood,jjjj,17.92359899,18.89933373,15.92359899
352,Edgewood,kkkk,53.58249001,18.40380145,44.58249001
353,Edgewood,kkkk,29.59674894,19.17543213,25.59674894
354,Edgewood,kkkk,30.7008828,19.04149845,24.7008828
355,Edgewood,kkkk,7.599976158,18.41359253,2.599976158
356,Edgewood,kkkk,34.56533582,19.85599755,30.56533582
357,Edgewood,kkkk,24.0108515,18.78678848,20.0108515
358,Edgewood,kkkk,27.64567772,18.96532957,25.64567772
359,Edgewood,llll,18.48820423,19.60603978,14.48820423
360,Edgewood,llll,25.61623476,18.64692712,24.61623476
361,Sullivan Heights,mmmm,84.19259973,21.07849136,84.19259973
362,Sullivan Heights,mmmm,106.6479351,21.6177762,97.64793511
363,Sullivan Heights,mmmm,93.49706084,20.26896246,83.49706084
364,Sullivan Heights,mmmm,68.68982653,20.79572995,66.68982653
365,Sullivan Heights,mmmm,66.55419864,21.35493376,59.55419864
366,Sullivan Heights,mmmm,95.63240044,21.49188549,92.63240044
367,Sullivan Heights,mmmm,75.70060303,20.59777832,72.70060303
368,Sullivan Heights,mmmm,38.01120792,21.04354024,33.01120792
369,Sullivan Heights,mmmm,79.32990108,21.42783122,75.32990108
370,Sullivan Heights,nnnn,81.86891041,20.83020933,76.86891041
371,Sullivan Heights,nnnn,73.44912835,21.85710411,65.44912835
372,Sullivan Heights,oooo,76.64175411,21.30088214,72.64175411
373,Sullivan Heights,oooo,71.95098058,20.13747601,64.95098058
374,Sullivan Heights,oooo,59.13912312,20.88451337,55.13912312
375,Sullivan Heights,pppp,49.22811022,21.25688928,48.22811022
376,Sullivan Heights,pppp,76.75372604,21.29179121,74.75372604
377,Sullivan Heights,pppp,81.94967139,20.79578875,76.94967139
378,Sullivan Heights,pppp,90.16814589,20.91888438,83.16814589
379,Sullivan Heights,pppp,82.34166867,20.91163802,78.34166867
380,Sullivan Heights,pppp,69.86634547,20.54238249,61.86634547
381,Sullivan Heights,pppp,71.9558981,21.67468,68.9558981
382,Sullivan Heights,pppp,90.49912574,22.01734949,85.49912574
383,Sullivan Heights,qqqq,68.50091004,21.59364267,61.50091004
384,Sullivan Heights,qqqq,61.39396496,22.25172536,53.39396496
385,Sullivan Heights,qqqq,73.95364633,21.77349199,63.95364633
386,Sullivan Heights,rrrr,72.9419906,22.02700929,71.9419906
387,Sullivan Heights,rrrr,104,20.9490674,100
388,Sullivan Heights,rrrr,46.6229556,23.20245441,42.6229556
389,Sullivan Heights,rrrr,61.18445105,22.24751674,57.18445105
390,Sullivan Heights,rrrr,67.91119662,21.2103999,63.91119662
391,Sullivan Heights,rrrr,99.49981569,21.57331782,98.49981569
392,Sullivan Heights,rrrr,64.91776784,21.80322671,62.91776784
393,Sullivan Heights,ssss,102.1163354,23.06504174,94.11633537
394,Sullivan Heights,ssss,71.66669404,21.58086151,64.66669404
395,Sullivan Heights,ssss,57.44704295,21.84740889,53.44704295
396,Sullivan Heights,ssss,88.41216873,21.72142413,80.41216873
397,Sullivan Heights,ssss,85.68140195,21.95686339,77.68140195
398,Sullivan Heights,tttt,86.44865361,21.91786122,80.44865361
399,Sullivan Heights,tttt,72.42204568,21.45941259,66.42204568
400,Sullivan Heights,tttt,87.26340539,22.9194926,79.26340539
401,Sullivan Heights,tttt,72.11640413,22.41063165,63.11640413
402,Sullivan Heights,tttt,78.67858855,23.52356907,77.67858855
403,Sullivan Heights,tttt,41.72778277,23.01745264,40.72778277
404,Sullivan Heights,tttt,74.55565446,22.87563058,72.55565446
405,Sullivan Heights,tttt,80.24917414,23.57619325,77.24917414
406,Sullivan Heights,uuuu,70.8720811,22.60114365,62.8720811
407,Sullivan Heights,uuuu,95.07255401,22.73245942,85.07255401
408,Sullivan Heights,uuuu,46.37126047,23.16467391,37.37126047
409,Sullivan Heights,uuuu,51.72630661,22.94615062,45.72630661
410,Sullivan Heights,uuuu,76.97591799,22.78427592,69.97591799
411,Sullivan Heights,vvvv,52.68137851,22.47289876,44.68137851
412,Sullivan Heights,vvvv,64.16086962,22.62744909,64.16086962
413,Sullivan Heights,vvvv,60.90269558,23.15607752,56.90269558
414,Sullivan Heights,vvvv,60.49612232,23.36532496,53.49612232
415,Sullivan Heights,vvvv,74.93776993,22.78715397,73.93776993
416,Sullivan Heights,wwww,67.66395668,23.49150294,66.66395668
417,Sullivan Heights,wwww,70.03086567,23.63624529,68.03086567
418,Sullivan Heights,xxxx,71.57630992,21.8379971,68.57630992
419,Sullivan Heights,xxxx,97.04253104,23.25136804,89.04253104
420,Sullivan Heights,xxxx,63.49848401,22.91559291,55.49848401
421,South Beach,yyyy,77.75977708,18.72742058,67.75977708
422,South Beach,yyyy,95.98469635,19.34146872,86.98469635
423,South Beach,zzzz,75.00825963,18.30901561,72.00825963
424,South Beach,zzzz,46.18861111,19.14369676,41.18861111
425,South Beach,zzzz,78.86119542,18.75830611,71.86119542
426,South Beach,zzzz,57.05221853,19.41433106,54.05221853
427,South Beach,zzzz,75.53825925,19.03476995,68.53825925
428,South Beach,zzzz,94.54501018,19.55906784,94.54501018
429,South Beach,ab,63.34806193,18.55103318,54.34806193
430,South Beach,ab,91.85390216,19.5131278,82.85390216
431,South Beach,ab,66.04338816,19.31420621,58.04338816
432,South Beach,ab,60.63777041,19.68125429,52.63777041
433,South Beach,ac,86.26941563,18.75895292,84.26941563
434,South Beach,ac,82.01246834,18.75918829,82.01246834
435,South Beach,ac,76.43558238,18.50610719,67.43558238
436,South Beach,ad,68.32778384,19.52989693,58.32778384
437,South Beach,ad,71.22836364,18.77512061,70.22836364
438,South Beach,ad,80.46699771,19.15504562,70.46699771
439,South Beach,ad,110,19.34236447,100
440,South Beach,ad,57.15524214,18.72260442,55.15524214
441,South Beach,ae,84.29278942,20.14693094,80.29278942
442,South Beach,ae,62.45087479,20.00089144,55.45087479
443,South Beach,ae,28.04964151,20.11818922,25.04964151
444,South Beach,af,67.46641142,20.30729543,60.46641142
445,South Beach,af,67.52871139,19.67923379,64.52871139
446,South Beach,af,73.05504096,21.1515051,67.05504096
447,South Beach,ag,60.7786632,19.74586825,58.7786632
448,South Beach,ag,56.81465835,19.73639815,50.81465835
449,South Beach,ah,79.96525177,20.01878132,70.96525177
450,South Beach,ah,88.36248405,20.01565211,78.36248405
451,South Beach,ah,49.97815129,20.0004242,42.97815129
452,South Beach,ai,49.60387992,19.92015347,40.60387992
453,South Beach,ai,60.07400263,19.63897333,57.07400263
454,South Beach,aj,78.24561779,20.31731159,75.24561779
455,South Beach,aj,77.59404256,19.35597646,76.59404256
456,South Beach,aj,79.09596606,20.01274406,71.09596606
457,South Beach,aj,57.91303314,20.41876621,48.91303314
458,South Beach,aj,49.53400944,20.06415586,40.53400944
459,South Beach,ak,23.08091638,19.99993253,13.08091638
460,South Beach,ak,80.95775853,19.33399833,75.95775853
461,South Beach,ak,81.5151287,21.22828061,76.5151287
462,South Beach,ak,81.61703391,20.93062303,73.61703391
463,South Beach,ak,99.10609628,21.67270906,94.10609628
464,South Beach,al,65.30081185,22.24187767,62.30081185
465,South Beach,al,65.99851772,20.62145502,58.99851772
466,South Beach,am,69.53893548,20.99636539,66.53893548
467,South Beach,am,52.28794068,20.32931779,51.28794068
468,South Beach,am,59.68832135,21.27266793,56.68832135
469,South Beach,am,70.30222165,20.99372328,70.30222165
470,South Beach,an,79.15232632,21.59616383,77.15232632
471,South Beach,an,83.8070584,21.41953811,73.8070584
472,South Beach,an,67.78187308,21.16900388,57.78187308
473,South Beach,an,68.525721,22.29063425,63.525721
474,South Beach,ao,53.71349665,22.24036862,53.71349665
475,South Beach,ao,97.41397361,20.56941259,87.41397361
476,South Beach,ap,90.88360971,21.11533123,81.88360971
477,South Beach,ap,67.36769676,21.35771741,59.36769676
